phase_days,dm_from_peak_mag
-30,3.165
-29,3.15
-28,3.135
-27,3.12
-26,3.105
-25,3.09
-24,3.075
-23,3.06
-22,3.045
-21,3.03
-20,3.015
-19,2.25
-18,2.1143616
-17,1.9798493
-16,1.8465193
-15,1.7144342
-14,1.5836643
-13,1.454289
-12,1.3263994
-11,1.2001001
-10,1.0755135
-9,0.95278467
-8,0.8320882
-7,0.71363908
-6,0.59770903
-5,0.48465353
-4,0.37495994
-3,0.26934277
-2,0.16896641
-1,0.076140527
0,0
1,0.086933135
2,0.16448751
3,0.23885641
4,0.31122934
5,0.38215341
6,0.45194386
7,0.52080547
8,0.5888818
9,0.65627891
10,0.72307832
11,0.78934454
12,0.85512989
13,0.9204776
14,0.985424
15,1.05
16,1.1142323
17,1.1781439
18,1.2417554
19,1.3050846
20,1.3681475
21,1.4309587
22,1.4935309
23,1.5558759
24,1.6180043
25,1.679926
26,1.7416497
27,1.8031838
28,1.8645358
29,1.9257127
30,1.9867211
31,2.0475669
32,2.1082559
33,2.1687933
34,2.2291841
35,2.289433
36,2.3495443
37,2.4095222
38,2.4693705
39,2.5290929
40,2.5886929
41,2.6481738
42,2.7075388
43,2.7667908
44,2.8259326
45,2.884967
46,2.9438966
47,3.0027237
48,3.0614508
49,3.12008
50,3.1786137
51,3.2370537
52,3.2954021
53,3.3536608
54,3.4118317
55,3.4699164
56,3.4879164
57,3.5059164
58,3.5239164
59,3.5419164
60,3.5599164
61,3.5779164
62,3.5959164
63,3.6139164
64,3.6319164
65,3.6499164
66,3.6679164
67,3.6859164
68,3.7039164
69,3.7219164
70,3.7399164
71,3.7579164
72,3.7759164
73,3.7939164
74,3.8119164
75,3.8299164
76,3.8479164
77,3.8659164
78,3.8839164
79,3.9019164
80,3.9199164
81,3.9379164
82,3.9559164
83,3.9739164
84,3.9919164
85,4.0099164
86,4.0279164
87,4.0459164
88,4.0639164
89,4.0819164
90,4.0999164
